class,AATS4dv,C1SP2,C4SP3,NssCH2,NdsCH,NssssC,NdO,StCH,fragCpx,ZMIC1,FilterItLogS,PEOE_VSA2,PEOE_VSA12,SlogP_VSA10,EState_VSA1,nRing,n6aHRing,nG12FRing,n9FaRing
0,3.5294117647058822,5,0,2,1,0,1,0.0,22.09,42.75316641543978,-2.1665477919186102,9.53140013787187,11.601107724199966,0.0,5.907179729351506,2,2,0,0
1,2.660377358490566,1,0,4,0,0,0,0.0,22.07,37.02065676095294,-3.831599360302867,0.0,0.0,0.0,0.0,1,0,0,0
0,2.283783783783784,1,0,4,0,0,0,0.0,26.07,41.8515877315788,-4.669529055950109,4.899909730850478,0.0,0.0,0.0,1,0,0,0
0,2.148792270531401,1,0,2,0,0,1,0.0,22.07,41.54759969283869,-4.339558721876851,9.6944469149223,5.783244946364939,0.0,0.0,1,0,0,0
0,2.2777777777777777,2,0,0,1,0,0,0.0,10.03,21.87207233669827,-0.4727976873395696,0.0,5.693927994848461,0.0,0.0,1,1,0,0
0,2.7254901960784315,1,0,4,0,0,1,0.0,19.06,39.51697614919531,-3.552072776515855,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
1,2.4220779220779223,1,0,10,0,0,0,0.0,139.07,44.951278012030926,-4.228379415630831,4.899909730850478,0.0,0.0,0.0,3,0,0,0
0,2.7847494553376904,1,0,4,0,0,1,0.0,20.07,41.08944621026093,-4.500273516922221,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
1,1.4904214559386972,0,1,17,0,1,1,0.0,261.07,65.34900128812279,-6.837906197340468,9.799819461700956,0.0,10.481923458755384,0.0,4,0,1,0
1,2.9917355371900825,1,0,10,0,0,0,0.0,129.07,44.10079457272971,-3.812230584096143,4.899909730850478,0.0,0.0,0.0,3,0,0,0
1,2.9291338582677167,1,0,9,2,0,0,0.0,82.08,44.15758193380032,-4.210541473774378,4.899909730850478,0.0,0.0,0.0,3,0,0,0
0,3.155758498224252,1,0,2,0,0,1,0.0,18.07,37.94001350899404,-3.71313732019776,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
0,3.164794007490636,1,0,4,0,0,1,0.0,21.07,37.71369683548749,-3.774882955904416,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
0,3.255813953488372,1,0,4,0,0,0,0.0,21.07,32.96758931557279,-3.854113547292521,0.0,0.0,0.0,0.0,1,0,0,0
1,1.567901234567901,0,1,15,0,1,1,0.0,247.07,59.03346178978738,-6.059291250826149,9.799819461700956,0.0,10.481923458755384,0.0,4,0,1,0
1,1.4555555555555555,0,1,18,0,1,1,0.0,268.07,68.63434715793403,-7.226520785099272,9.799819461700956,0.0,10.481923458755384,0.0,4,0,1,0
1,2.7964601769911503,1,0,8,0,0,0,0.0,73.07,39.82328709656434,-4.152147703023431,4.899909730850478,0.0,0.0,0.0,2,0,0,0
0,2.9682539682539684,1,0,10,0,0,0,0.0,134.08,44.59979574045515,-3.5420301957813027,4.899909730850478,0.0,0.0,0.0,3,0,0,0
0,2.883597883597884,1,0,10,0,0,0,0.0,134.08,45.5028127308191,-3.900308490040055,4.899909730850478,0.0,0.0,0.0,3,0,0,0
1,2.303333333333333,2,0,4,1,0,1,0.0,21.08,34.218158215993355,-3.719243584677456,10.114318268765572,0.0,0.0,4.923311048817671,1,0,0,0
1,1.7083333333333333,0,1,12,0,1,1,0.0,226.07,50.49780984149533,-4.8875837045541015,9.799819461700956,0.0,10.481923458755384,0.0,4,0,1,0
1,2.4285714285714284,1,0,10,0,0,0,0.0,139.07,44.951278012030926,-4.228379415630831,4.899909730850478,0.0,0.0,0.0,3,0,0,0
0,2.391566265060241,1,0,9,0,0,0,0.0,144.07,43.77977145451965,-4.374220102576773,4.899909730850478,0.0,0.0,0.0,3,0,0,0
0,2.151515151515152,1,0,4,0,0,1,0.0,21.07,38.52911489996456,-5.065941024283727,4.794537184071822,5.783244946364939,4.39041504767482,5.817220841045895,1,0,0,0
1,2.1627906976744184,0,1,2,0,1,1,0.0,104.05,31.740085965709326,-2.7650942532689484,4.899909730850478,0.0,10.481923458755384,6.093240070938415,3,0,1,0
0,1.7632850241545894,0,1,11,0,1,1,0.0,219.07,48.03038463735695,-4.495907565622868,9.799819461700956,0.0,10.481923458755384,0.0,4,0,1,0
1,1.6111111111111112,0,1,14,0,1,1,0.0,240.07,56.03784361719077,-5.669249746134347,9.799819461700956,0.0,10.481923458755384,0.0,4,0,1,0
0,2.226666666666667,1,0,4,0,0,1,0.0,22.07,38.584717708152816,-4.868049476270581,4.794537184071822,5.783244946364939,0.0,0.0,1,0,0,0
1,1.6577777777777778,0,1,13,0,1,1,0.0,233.07,53.18169859598456,-5.278688825078694,9.799819461700956,0.0,10.481923458755384,0.0,4,0,1,0
